Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2006,1,Texas,Private,52,Finance and Insurance,2,"32,485 ","20,113 ","435,081 ","1,350 ","7,637,072,749 ","432,888 ","434,911 ","437,445 ",1775
2006,2,Texas,Private,52,Finance and Insurance,2,"32,859 ","20,145 ","440,936 ","1,096 ","6,284,960,477 ","438,801 ","440,522 ","443,485 ",1775
2006,3,Texas,Private,52,Finance and Insurance,2,"33,047 ","20,205 ","444,250 ","1,109 ","6,407,066,768 ","442,912 ","444,664 ","445,175 ",1775
2006,4,Texas,Private,52,Finance and Insurance,2,"33,309 ","20,303 ","448,150 ","1,257 ","7,325,413,106 ","446,255 ","447,407 ","450,787 ",1775
2007,1,Texas,Private,52,Finance and Insurance,2,"34,418 ","21,145 ","448,478 ","1,515 ","8,835,306,484 ","446,848 ","448,575 ","450,010 ",1775
2007,2,Texas,Private,52,Finance and Insurance,2,"34,553 ","21,169 ","452,431 ","1,152 ","6,778,286,000 ","450,418 ","452,328 ","454,546 ",1775
2007,3,Texas,Private,52,Finance and Insurance,2,"34,923 ","21,432 ","454,920 ","1,163 ","6,880,857,845 ","455,499 ","455,545 ","453,716 ",1775
2007,4,Texas,Private,52,Finance and Insurance,2,"35,427 ","21,512 ","454,675 ","1,299 ","7,680,230,965 ","453,942 ","454,550 ","455,532 ",1775
2008,1,Texas,Private,52,Finance and Insurance,2,"34,912 ","20,837 ","452,715 ","1,559 ","9,173,973,859 ","451,418 ","453,580 ","453,146 ",1775
2008,2,Texas,Private,52,Finance and Insurance,2,"34,791 ","20,761 ","455,907 ","1,179 ","6,986,547,597 ","455,029 ","455,915 ","456,777 ",1775
2008,3,Texas,Private,52,Finance and Insurance,2,"34,886 ","20,818 ","455,920 ","1,156 ","6,849,456,268 ","457,127 ","456,613 ","454,019 ",1775
2008,4,Texas,Private,52,Finance and Insurance,2,"34,920 ","20,869 ","453,161 ","1,332 ","7,848,341,234 ","453,831 ","452,416 ","453,237 ",1775
2009,1,Texas,Private,52,Finance and Insurance,2,"34,709 ","20,602 ","447,927 ","1,407 ","8,195,244,375 ","448,329 ","448,317 ","447,134 ",1775
2009,2,Texas,Private,52,Finance and Insurance,2,"34,805 ","20,468 ","445,714 ","1,150 ","6,662,416,538 ","446,011 ","445,636 ","445,495 ",1775
2009,3,Texas,Private,52,Finance and Insurance,2,"34,520 ","20,541 ","444,443 ","1,149 ","6,636,628,940 ","445,884 ","444,777 ","442,667 ",1775
2009,4,Texas,Private,52,Finance and Insurance,2,"34,725 ","20,554 ","445,101 ","1,321 ","7,641,903,421 ","443,992 ","444,954 ","446,356 ",1775
2010,1,Texas,Private,52,Finance and Insurance,2,"34,735 ","20,598 ","442,343 ","1,494 ","8,588,861,690 ","441,262 ","442,431 ","443,337 ",1775
2010,2,Texas,Private,52,Finance and Insurance,2,"34,750 ","20,512 ","444,015 ","1,208 ","6,971,807,486 ","443,048 ","443,870 ","445,126 ",1775
2010,3,Texas,Private,52,Finance and Insurance,2,"34,751 ","20,507 ","445,222 ","1,205 ","6,976,037,532 ","445,677 ","445,425 ","444,564 ",1775
2010,4,Texas,Private,52,Finance and Insurance,2,"35,050 ","20,678 ","449,539 ","1,373 ","8,021,837,282 ","447,898 ","449,484 ","451,235 ",1775
2011,1,Texas,Private,52,Finance and Insurance,2,"35,111 ","20,595 ","448,451 ","1,641 ","9,566,449,748 ","447,448 ","448,476 ","449,429 ",1775
2011,2,Texas,Private,52,Finance and Insurance,2,"35,067 ","20,569 ","451,178 ","1,238 ","7,262,198,583 ","450,263 ","450,640 ","452,630 ",1775
2011,3,Texas,Private,52,Finance and Insurance,2,"35,179 ","20,623 ","455,075 ","1,276 ","7,548,233,238 ","454,654 ","455,122 ","455,448 ",1775
2011,4,Texas,Private,52,Finance and Insurance,2,"35,732 ","20,714 ","457,860 ","1,366 ","8,131,334,882 ","456,418 ","457,328 ","459,834 ",1775
2012,1,Texas,Private,52,Finance and Insurance,2,"36,008 ","20,910 ","460,500 ","1,699 ","10,171,219,097 ","458,840 ","460,755 ","461,906 ",1775
2012,2,Texas,Private,52,Finance and Insurance,2,"35,903 ","20,822 ","464,695 ","1,275 ","7,702,339,724 ","462,898 ","463,954 ","467,232 ",1775
2012,3,Texas,Private,52,Finance and Insurance,2,"36,117 ","20,932 ","469,194 ","1,300 ","7,931,276,220 ","468,632 ","469,492 ","469,458 ",1775
2012,4,Texas,Private,52,Finance and Insurance,2,"36,517 ","21,079 ","474,863 ","1,480 ","9,135,746,053 ","473,270 ","474,739 ","476,580 ",1775
2013,1,Texas,Private,52,Finance and Insurance,2,"36,133 ","20,976 ","477,079 ","1,730 ","10,726,881,407 ","475,147 ","477,350 ","478,739 ",1775
2013,2,Texas,Private,52,Finance and Insurance,2,"36,182 ","21,107 ","480,721 ","1,313 ","8,203,983,094 ","478,889 ","480,234 ","483,041 ",1775
2013,3,Texas,Private,52,Finance and Insurance,2,"36,396 ","21,210 ","486,031 ","1,339 ","8,462,646,204 ","485,723 ","486,971 ","485,400 ",1775
2013,4,Texas,Private,52,Finance and Insurance,2,"36,827 ","21,430 ","488,084 ","1,462 ","9,274,114,079 ","486,938 ","488,885 ","488,430 ",1775
