Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,0.04,0.036,0.034,0.036,0.04,0.042,0.041,0.039,0.02,0.014,0.02,0.025
2007,0.021,0.024,0.028,0.026,0.027,0.027,0.023,0.019,0.028,0.036,0.044,0.041
2008,0.043,0.041,0.04,0.039,0.041,0.049,0.055,0.053,0.05,0.037,0.011,0
2009,-0.001,0,-0.004,-0.006,-0.01,-0.012,-0.02,-0.015,-0.014,-0.002,0.019,0.028
2010,0.026,0.022,0.023,0.022,0.02,0.011,0.013,0.012,0.011,0.012,0.011,0.014
2011,0.017,0.021,0.026,0.031,0.035,0.035,0.036,0.038,0.038,0.035,0.035,0.031
2012,0.03,0.029,0.026,0.023,0.017,0.017,0.014,0.017,0.019,0.022,0.018,0.018
2013,0.017,0.02,0.015,0.011,0.014,0.017,0.019,0.015,0.011,0.009,0.012,0.015
2014,0.016,0.011,0.016,0.02,0.022,0.021,0.02,0.017,0.017,0.016,0.012,0.007
2015,-0.002,-0.001,0,-0.001,0,0.002,0.002,0.002,0,0.001,0.004,0.006
2016,0.012,0.008,0.009,0.012,0.011,0.011,0.009,0.011,0.015,0.017,0.017,0.021
2017,0.025,0.028,0.024,0.022,0.019,0.017,0.017,0.019,0.022,0.02,0.022,0.021
2018,0.021,0.022,0.024,0.025,0.028,0.028,0.029,0.027,0.023,0.025,0.022,0.019
2019,0.015,0.015,0.019,0.02,0.018,0.017,0.018,0.017,0.017,0.018,0.02,0.023
2020,0.025,0.023,0.015,0.003,0.002,0.007,0.01,0.013,0.014,0.012,0.011,0.013
2021,0.014,0.017,0.026,0.042,0.049,0.053,,,,,,
